Video ID,Playlist Video Creation Timestamp
pwHdFPEX4NA,2020-01-19T19:49:55+00:00
eAsBo6VMaH4,2020-01-19T19:51:15+00:00
KSHmxn2fgv0,2020-01-24T16:31:06+00:00
NS0io3Z75GI,2020-02-03T13:13:44+00:00
OjS6SWS6G5c,2020-02-06T18:39:20+00:00
j7l5e2ID0aw,2020-02-06T19:16:29+00:00
rh_sEwe_tCE,2020-02-06T19:54:01+00:00
sSbahlvDfS4,2020-02-07T08:30:50+00:00
UIm-YqYKutk,2020-02-07T12:23:29+00:00
98PHFNNSoIU,2020-02-13T16:08:27+00:00
Qn88ba4XrsA,2020-02-13T16:08:48+00:00
k4bs37odT0c,2020-02-13T16:09:39+00:00
NDVCquHbFIM,2020-02-15T13:45:22+00:00
TBLlwvM_uPc,2020-03-23T10:41:44+00:00
FGKpOLG34xE,2020-03-23T12:19:06+00:00
-6I2BuLo60Q,2020-03-24T17:13:17+00:00
WLpLYhnGqPA,2020-03-24T17:23:49+00:00
M0k7HSF3kVg,2020-03-24T18:11:03+00:00
sjB6wamZQN0,2020-04-05T16:20:28+00:00
_2O2N0taalM,2020-11-02T17:08:22+00:00
C-v262YhYvw,2021-03-17T19:24:38+00:00
sWfrs9EhC7M,2021-06-24T14:31:35+00:00
N6DDiVoZdOk,2021-06-24T14:41:36+00:00
9WEV51IGSek,2022-01-27T21:30:35+00:00





